"x","y"
202277.677743,941276.685954
214851.512755,941277.981401
208032.012448,941283.47568
185736.750793,941289.439066
201338.243562,941292.094955
200607.516666,941292.95409
199135.80472,941296.38613
217333.025946,941297.075859
198139.793926,941299.500547
178649.31984,941307.119339
202945.072123,941312.323059
152119.562624,941313.077737
202090.315132,941315.201194
200983.612517,941320.083727
201223.206625,941328.481923
194245.875794,941335.083731
172826.956429,941341.022665
197849.241866,941341.174633
151599.812841,941344.362804
176106.741353,941344.476069
193918.173785,941346.410134
198189.898401,941348.230076
200827.503658,941371.11319
202673.576672,941375.760824
200638.90465,941376.287743
206683.524328,941386.452107
159683.08123,941390.139299
160391.628509,941393.941649
209506.016517,941394.110531
198090.900627,941400.886774
198218.997767,941403.162016
163209.817554,941413.598786
168256.914223,941414.82209
201901.096785,941417.345778
217048.959313,941417.982103
204555.977625,941430.452126
151381.977605,941434.446592
207401.422951,941436.377678
208203.600949,941444.892041
207670.832419,941453.186917
187130.217923,941456.599427
200568.699957,941457.854408
172646.05636,941461.714781
201270.75714,941461.741155
172922.923422,941463.845747
200668.792088,941464.124014
198043.72476,941469.377233
200318.926565,941470.208512
190750.739088,941484.481876
200819.082456,941487.325304
195064.463898,941498.21092
160407.298767,941498.379553
190097.539433,941500.335353
197971.813281,941513.529482
197607.335429,941514.970344
174964.544479,941520.485473
199927.235926,941521.799156
202122.053648,941523.477572
152304.401937,941531.244058
202665.400002,941534.709128
200711.764372,941540.099624
175350.074947,941540.495962
147610.669421,941546.775085
182942.689821,941554.730903
197897.888983,941560.501134
201885.715728,941569.932667
200838.023473,941574.894061
158768.808864,941575.544294
197492.822119,941579.890999
145817.49304,941580.182576
214228.51986,941583.860908
151752.591401,941600.208427
202849.943131,941610.232922
160428.268717,941615.071078
202610.076677,941615.181359
206561.358805,941619.030407
202184.496113,941620.59534
206715.800248,941629.586802
204772.377164,941631.616137
201597.915438,941637.401124
188918.684901,941643.617108
199842.394291,941645.96955
197872.334114,941647.653051
197765.757149,941652.816909
201889.341048,941653.471941
200528.666367,941655.751475
197271.653691,941662.898378
152520.165045,941664.361813
209309.571833,941681.033657
202120.907042,941682.583561
194676.00394,941683.037686
197650.706218,941695.212696
204732.537182,941700.046017
201010.930097,941700.499343
201202.120307,941704.681124
200250.454487,941709.104466
200722.733812,941714.054766
186720.908298,941716.412184
202002.019152,941718.090483
202368.293295,941721.65707
196656.0225,941722.568709
176573.277199,941724.806388
202217.889666,941731.449035
201869.532035,941734.682981
178593.972376,941737.107634
214874.915213,941742.160548
214753.687822,941743.395108
156876.246002,941744.878211
200380.43069,941746.236251
212247.152568,941748.286476
148251.585218,941749.444068
175450.323809,941749.96861
183422.848484,941751.614189
138001.180573,941751.710167
197503.329365,941753.651485
204820.341944,941755.056718
172165.905661,941756.640116
215060.232905,941763.097582
197685.741721,941771.276608
210352.453713,941773.127428
142363.897385,941773.92338
209191.353002,941775.813978
215688.411041,941776.022101
176176.537019,941778.749437
146824.678232,941780.28447
197588.71952,941782.570876
214935.836938,941786.025965
138993.794971,941788.647158
201409.152474,941789.927715
202572.66393,941796.127727
204742.129513,941804.022739
178749.476011,941806.422451
206791.148843,941809.975413
186941.513632,941811.565428
144723.781649,941821.131033
139440.009947,941821.874526
214772.061632,941824.4321
160612.602136,941839.240965
188875.298359,941839.312455
175025.390873,941845.921128
160659.315277,941847.344044
210044.161417,941859.952058
176613.061341,941866.709131
151963.785054,941872.283293
202505.598166,941884.13003
201153.067157,941885.955841
200747.922252,941888.023168
194483.491419,941890.326128
202959.062215,941892.209436
195061.119557,941892.729639
199630.028685,941898.742533
200062.579476,941899.33368
205635.52567,941901.930293
167816.810237,941910.764175
159027.495935,941917.883245
217409.997697,941918.669785
204848.479919,941920.542777
200611.981756,941921.223161
175324.002377,941925.913199
143629.463119,941926.13379
132502.527391,941937.149714
198661.835696,941939.375067
159392.279778,941940.296844
202178.022698,941941.369997
202766.114744,941944.184343
171179.892991,941952.448285
197523.339865,941952.483983
154899.040112,941957.230095
200364.114202,941957.797194
158083.94316,941959.863009
160905.602599,941964.314017
201000.438409,941966.192225
202306.02811,941966.273399
200151.83429,941967.634293
202518.965429,941973.752693
151177.854164,941975.549477
202602.421517,941979.711765
142001.128215,941983.003685
210426.665683,941989.579844
197301.7049,941993.167101
201203.162939,941995.224987
204321.800834,941995.904765
170338.440258,942003.118568
201299.752626,942005.111041
203048.309479,942009.636044
204764.975013,942013.241609
159339.896272,942018.298003
211340.718672,942018.753149
203300.740649,942018.949755
126392.509653,942020.026453
203128.480232,942021.685308
197413.268708,942024.690536
203217.119495,942024.872137
204966.87432,942032.142211
212677.113938,942040.455371
200440.416967,942042.448596
210157.323765,942042.954634
164026.192422,942045.749653
139842.31946,942047.385776
197566.701346,942051.372914
202113.834876,942052.298339
159616.979431,942057.256753
206612.589153,942064.876032
201433.576211,942065.667842
201666.537669,942067.92093
200321.304306,942072.967804
160747.640591,942074.002822
214749.037404,942074.305759
204155.563097,942077.179878
178777.08405,942080.358773
134196.384706,942086.101881
175027.341247,942086.231914
152526.822628,942090.09674
200689.166504,942090.407591
169158.776133,942093.092877
191588.535532,942104.896648
134581.885518,942114.588949
171647.60574,942119.632453
200925.19639,942122.643194
200599.852222,942126.770785
204818.315835,942128.748187
145141.841901,942129.429714
202002.672102,942131.730758
209701.391854,942136.426326
201506.304331,942139.894139
200299.591277,942144.244321
205863.946444,942144.597747
215122.627797,942147.764628
199911.165939,942148.095376
202902.968407,942148.757791
159950.645947,942154.276344
159169.412028,942154.686232
200836.784138,942159.407835
171485.009887,942160.354799
187135.673135,942166.477505
151456.742685,942174.088231
199617.704138,942175.899632
174760.195599,942179.986027
201897.955209,942181.507102
184189.702951,942182.338762
209959.950408,942187.16997
130108.722914,942188.738544
201154.445638,942196.26261
122915.508014,942197.33711
158934.142209,942199.774517
158644.785303,942203.714952
204896.213802,942204.598692
201342.597088,942207.00826
197234.670935,942214.434666
161689.992811,942214.583748
174933.521074,942223.246368
197585.202562,942226.933328
196404.065112,942229.193611
200644.279953,942236.158092
202608.203602,942236.905428
175782.145952,942237.763882
178368.164173,942241.914016
201649.148635,942242.926814
198817.574512,942253.1243
176374.142132,942256.13266
217953.491073,942256.95725
128909.420791,942259.229756
160600.589128,942260.704158
122109.076952,942261.573564
159822.115107,942266.465325
179519.544606,942268.028548
199244.744013,942268.230448
122619.602572,942270.222791
212958.323622,942271.262285
197440.831558,942272.078967
199556.826003,942273.759939
201457.750155,942274.84492
204875.163042,942275.094081
204593.39568,942277.238627
202061.942139,942278.116848
214898.58523,942278.132578
193546.639591,942279.990313
202400.204916,942286.627899
156358.536636,942287.461868
200230.032879,942288.161608
197376.239038,942293.811388
203258.895833,942293.908716
167720.402263,942304.730232
123720.252296,942307.876478
157504.992946,942318.520035
203022.827076,942318.848299
136312.320744,942321.044251
204259.29196,942325.692806
171247.894261,942325.973464
213349.086554,942327.368104
201779.613113,942327.994877
124998.381874,942337.366979
201647.838584,942340.947525
129512.688747,942341.028474
129287.837473,942345.230891
199090.059921,942349.09527
197505.697772,942352.163582
193450.939459,942355.098567
178522.473619,942356.401972
200905.104062,942356.493674
204856.285912,942358.570605
196581.796363,942362.774736
201477.388842,942371.41011
197745.183265,942372.491636
200762.888953,942378.44321
187088.00048,942380.608051
201358.022629,942383.852979
186926.452195,942391.13075
204548.706865,942391.143057
214700.777887,942392.224979
216244.778815,942400.123064
199322.356082,942401.094407
201278.369939,942401.754694
201799.923759,942402.951064
199802.832854,942411.377222
176643.652482,942414.40695
202313.835728,942415.629543
160053.343475,942416.1285
204141.991264,942417.614142
162913.558344,942418.945634
197511.879558,942419.688039
151103.951994,942421.473684
188042.94998,942423.356789
203046.813122,942427.057553
122504.292593,942429.932851
201195.613915,942434.774036
148808.954688,942435.114423
204836.720681,942436.498035
214448.333587,942444.258601
218338.325294,942444.644381
198533.754613,942448.798662
197523.695761,942452.464038
202460.150777,942456.433868
201111.779578,942459.392514
174973.352993,942462.499746
200073.75441,942465.781355
201470.13811,942471.326493
204252.883977,942471.327358
217150.91456,942473.25343
162908.055113,942476.717229
122501.859813,942477.726671
199240.88104,942480.047839
198740.758214,942486.064402
195294.514503,942487.39278
201607.028471,942490.225221
201039.04075,942493.406718
203051.177423,942500.496255
213635.820241,942501.895932
205942.097676,942502.116098
123452.111143,942503.497788
204836.618795,942507.481855
160068.011002,942508.267022
155701.33272,942512.206993
146042.75656,942516.623431
162585.173171,942518.362092
208686.91131,942518.447103
217016.386359,942522.603635
160456.575163,942523.436192
200275.215877,942523.740739
187017.560062,942524.266527
198384.248646,942525.744313
209875.252984,942528.488388
201536.82424,942533.558937
214529.545986,942535.488469
206264.615569,942535.729387
176682.820679,942536.30679
122514.904764,942545.887553
203739.786642,942547.626172
153474.29231,942553.19627
178788.674064,942555.979741
198602.042192,942558.399766
139113.34115,942569.027158
206646.253924,942576.337212
192802.088187,942576.50275
201482.904291,942577.376249
122483.185255,942579.515741
160129.105348,942579.667027
201329.88788,942580.999701
215222.511729,942584.160646
176397.116333,942586.626729
152593.786545,942588.282961
169679.312412,942589.752712
160653.632228,942592.749845
196719.201761,942593.825738
148292.934969,942596.288659
202548.766178,942601.671619
124129.641558,942604.960062
186359.395121,942607.886815
135229.397214,942608.878285
202370.141327,942613.610428
197881.261617,942614.852431
173265.600542,942616.979844
201424.937278,942617.323016
125822.6133,942617.32757
200492.15866,942618.700493
167072.163255,942622.527246
176782.45719,942624.708535
160152.22417,942626.677657
176030.33644,942627.740485
177335.455887,942633.745752
214445.145983,942635.905241
214487.021468,942637.706761
204554.348598,942640.306295
178048.882433,942640.984339
160288.232313,942642.693287
201022.167852,942654.755402
176638.978777,942655.480415
151130.109282,942662.293244
201369.502749,942662.99504
197748.623592,942663.307665
176931.709176,942665.587522
176771.449312,942667.00105
200418.051384,942667.438344
176877.121179,942669.471018
202207.625133,942673.698515
199871.453908,942677.301029
163046.278816,942679.325175
217319.560479,942681.925857
144547.694415,942684.196581
140884.830138,942687.892839
197935.758315,942692.080265
160856.284619,942695.087746
160253.520259,942696.69714
197659.772879,942700.84934
146389.80007,942702.466657
160176.16268,942704.800516
213104.402514,942707.905935
202565.104709,942710.544331
200081.399927,942710.572065
150607.690473,942712.727558
176152.255309,942712.885209
209662.50595,942713.734565
202743.479813,942713.824516
123094.308345,942724.372185
215208.9441,942727.443436
152373.844716,942727.968348
205177.952207,942728.760669
133726.529615,942729.647039
202956.722077,942730.41201
145280.726605,942736.044402
207434.491873,942737.484033
132904.546702,942737.692516
202524.759771,942738.022723
201616.870617,942740.462001
170291.496425,942742.575391
215034.865487,942744.236657
169464.419461,942744.795264
160476.664528,942756.167979
205093.967942,942756.56066
181010.34969,942758.373089
194556.972287,942758.427963
202224.236667,942762.461965
162614.378902,942766.379794
178687.312974,942768.997202
197993.242427,942771.09571
146748.352588,942771.767918
197822.694604,942772.931418
138535.149143,942779.35283
204854.274046,942782.375647
195868.456416,942793.927032
200477.86775,942794.428859
183991.045334,942807.564054
197752.584023,942813.588548
162111.359253,942821.205869
201983.367143,942826.16361
182875.423705,942829.962719
134482.570169,942833.128628
186262.810728,942842.602885
202791.759011,942849.313614
197880.328693,942853.394153
169409.921241,942858.534589
160803.054515,942861.320159
156809.852328,942867.660014
202645.125044,942870.321264
198827.235963,942875.195277
214651.579881,942879.216321
134787.026358,942882.03693
185448.142497,942885.160883
198965.666844,942887.912762
204595.969376,942889.439591
174514.450563,942889.762988
146197.43804,942889.780008
202562.710286,942891.48697
160384.25161,942894.696579
197807.338132,942898.802092
182465.371634,942900.923875
202013.718014,942912.356567
201795.104365,942916.544143
161656.431839,942921.851615
202234.086779,942923.572281
142100.075068,942925.601625
169696.857142,942933.598896
160621.580654,942934.468598
201810.054437,942939.736667
203003.614383,942942.054285
195956.709963,942949.600741
168639.670268,942951.749885
205831.07919,942955.775096
146857.644108,942958.881832
204766.456133,942959.730011
203778.592708,942963.671177
158309.235092,942965.554041
167753.316333,942967.15274
163756.719065,942976.495328
159007.976775,942979.615915
203075.439137,942984.768723
183220.662365,942985.793805
199433.257654,942986.084491
203178.907632,942992.839162
202548.783199,942994.358729
202761.945177,942996.027872
182605.090544,943008.166706
201849.665296,943009.81618
186495.655593,943016.214281
156219.264113,943018.124895
186744.791791,943024.876869
167108.543514,943028.438407
177965.627089,943030.069935
166587.690176,943030.86869
185153.719793,943031.950209
202898.080172,943034.901497
198279.618491,943034.920665
169601.544463,943046.315903
202703.270799,943047.288193
205420.871858,943050.100341
201716.725003,943056.14343
199907.001831,943061.467723
203322.155286,943074.813265
203001.608564,943075.622728
170223.45962,943077.594437
130974.803822,943082.686155
200403.155463,943093.341007
218045.54544,943094.740822
202645.29308,943096.406074
202209.56604,943098.077813
196713.206882,943100.011495
162166.103803,943102.197852
198182.164751,943105.921125
219907.69361,943109.136077
175741.308884,943114.273074
211776.905339,943117.570233
200155.912349,943118.896136
216582.188632,943123.364877
203055.08934,943128.674717
207115.322095,943134.950723
201946.691825,943137.619013
213787.147047,943137.977054
202828.318748,943138.870518
149837.448078,943146.465796
215740.995166,943149.516276
198139.404522,943150.630586
160823.382807,943153.231689
178033.047911,943158.086357
185235.726222,943158.741631
201861.072508,943160.647843
200913.644628,943174.522482
200101.695917,943177.581692
160541.494882,943182.571999
197000.032203,943188.435471
148557.826813,943188.554704
199770.934658,943192.987124
203133.491818,943196.84569
164418.192315,943202.686719
146040.772203,943211.256859
200038.504195,943213.793595
199002.534094,943219.378992
192779.396336,943221.11005
192596.51157,943221.301506
204558.878201,943229.462371
157357.14529,943238.067364
199970.621619,943240.884768
121560.587036,943242.702889
206555.196959,943251.16043
166808.907835,943258.413501
190226.671532,943259.371619
160591.93189,943263.982933
164247.506203,943272.203448
200668.7608,943275.936734
193537.915941,943282.999928
214083.749708,943285.512717
201967.230515,943285.620737
203456.718925,943286.236958
152829.648625,943287.51241
157616.587562,943294.725214
171825.238557,943295.595169
201659.991274,943303.122187
166678.473665,943305.411387
201789.537238,943316.804601
161324.043118,943317.746465
203056.184306,943322.013952
216837.058768,943329.646173
164523.424839,943329.695068
203243.387655,943330.351508
159999.719166,943343.080351
164189.540978,943348.311904
178077.472158,943355.49299
163249.689412,943361.452934
185532.904796,943363.052948
203000.076682,943364.274653
145768.190635,943364.508859
199937.124786,943364.668562
